## 케이티앤지 / 2024.03.20 사업보고서

### 1. 요약재무정보
#### 가. 요약연결재무정보
(단위 : 원)

| 구분                                         | 제37기 (2023년 12월말) | 제36기 (2022년 12월말) | 제35기 (2021년 12월말) |
| :------------------------------------------- | :--------------------- | :--------------------- | :--------------------- |
| **자산총액**                                 | 12,772,452,000,000     | 12,301,716,000,000     | 11,637,271,000,000     |
| **부채총계**                                 | 3,477,517,000,000      | 2,943,136,000,000      | 2,428,409,000,000      |
| **자본총계**                                 | 9,294,935,000,000      | 9,358,580,000,000      | 9,208,862,000,000      |
|                                              |                        |                        |                        |
| (23.01.01~12.31)                             | (22.01.01~12.31)       | (21.01.01~12.31)       |                        |
| **매출액**                                   | 5,862,608,000,000      | 5,851,406,000,000      | 5,228,352,000,000      |
| **영업이익**                                 | 1,167,336,000,000      | 1,267,650,000,000      | 1,338,383,000,000      |
| **당기순이익**                               | 922,361,000,000        | 1,005,327,000,000      | 971,759,000,000        |
| ㆍ지배기업 소유주지분                         | 902,662,000,000        | 1,015,785,000,000      | 977,259,000,000        |
| **주당순이익(원)**                           | 7,843                  | 8,489                  | 7,898                  |
|                                              |                        |                        |                        |
| 연결에 포함된 회사수                          | 29                     | 26                     | 27                     |
