## 지에스이 / 2025.03.19 사업보고서 (요약)

### 1. 요약재무정보

**가. 요약 재무상태표 (단위 : 원)**

| 구분                      | 제36기 (2024년 12월말) | 제35기 (2023년 12월말) | 제34기 (2022년 12월말) |
| :------------------------ | :--------------------- | :--------------------- | :--------------------- |
| **[유동자산]**            | 61,310,753,000,000     | 64,758,779,000,000     | 63,467,795,000,000     |
| ㆍ현금및현금성자산        | 8,384,985,000,000      | 5,475,855,000,000      | 9,625,730,000,000      |
| **[비유동자산]**          | 177,070,749,000,000    | 144,640,370,000,000    | 141,199,530,000,000    |
| **자산총계**              | 238,381,502,000,000    | 209,399,149,000,000    | 204,667,325,000,000    |
| **[유동부채]**            | 76,951,098,000,000     | 52,076,993,000,000     | 55,820,168,000,000     |
| **[비유동부채]**          | 67,036,563,000,000     | 64,713,572,000,000     | 60,227,164,000,000     |
| **부채총계**              | 143,987,661,000,000    | 116,790,565,000,000    | 116,047,332,000,000    |
| **[자본금]**              | 15,304,358,000,000     | 15,304,358,000,000     | 15,304,358,000,000     |
| **[이익잉여금]**          | 46,802,185,000,000     | 45,016,928,000,000     | 41,028,337,000,000     |
| **자본총계**              | 94,393,841,000,000     | 92,608,584,000,000     | 88,619,993,000,000     |

**나. 요약 포괄손익계산서 (단위 : 원)**

| 구분                       | 제36기 (2024년)   | 제35기 (2023년)   | 제34기 (2022년)   |
| :------------------------- | :---------------- | :---------------- | :---------------- |
| **매출액**                 | 155,623,291,000,000 | 168,759,675,000,000 | 172,618,318,000,000 |
| **영업이익**               | 4,907,764,000,000 | 4,381,368,000,000 | 4,625,408,000,000 |
| **당기순이익**             | 3,563,205,000,000 | 5,588,427,000,000 | 5,902,330,000,000 |
| **총포괄손익**             | 2,984,760,000,000 | 5,188,095,000,000 | 6,586,257,000,000 |
| **기본주당순이익 (원)**    | 119               | 186               | 197               |
