## 하이스틸 / 2025.03.12 [정정] 사업보고서

### 1. 요약재무정보

**가. 요약연결재무정보**
(단위 : 원)

| 과목 | 제 22 기 | 제 21 기 | 제 20 기 |
|---|---|---|---|
| **자산** |  |  |  |
| 유동자산 | 105,912,610,167 | 106,588,644,754 | 126,766,299,783 |
| 현금및현금성자산 | 22,440,352,656 | 21,897,972,813 | 20,504,794,424 |
| 재고자산 | 55,249,916,174 | 48,532,437,413 | 49,368,157,730 |
| 비유동자산 | 161,575,087,926 | 163,860,220,253 | 165,689,790,320 |
| 유형자산 | 146,477,125,548 | 150,882,801,285 | 153,727,227,176 |
| 자산총계 | 267,487,698,093 | 270,448,865,007 | 292,456,090,103 |
| **부채** |  |  |  |
| 유동부채 | 101,706,199,298 | 103,324,903,361 | 92,989,182,233 |
| 비유동부채 | 17,761,470,292 | 17,897,454,740 | 50,513,984,773 |
| 부채총계 | 119,467,669,590 | 121,222,358,101 | 143,503,167,006 |
| **자본** |  |  |  |
| 자본금 | 10,095,735,500 | 10,095,735,500 | 10,095,735,500 |
| 이익잉여금 | 88,807,728,823 | 90,377,452,765 | 90,009,619,279 |
| 자본총계 | 148,020,028,503 | 149,226,506,906 | 148,952,923,097 |
| **포괄손익계산서** |  |  |  |
| 매출액 | 246,263,519,268 | 256,655,946,687 | 316,413,941,902 |
| 영업이익(손실) | 911,764,312 | 3,386,282,628 | 16,870,680,824 |
| 당기순이익(손실) | (1,104,636,147) | 1,306,918,155 | 11,510,796,611 |
| 총포괄손익 | (1,008,462,862) | 670,212,629 | 11,030,156,139 |
| 주당이익 | (55) | 65 | 574 |

---

**나. 요약별도재무정보**

**(제거됨)**
