파일명,파일 내용
2015_LG유플러스_preprocessing_summary.txt,"LG유플러스 요약재무정보 (18기-20기)

성장성
영업수익은 2016년 11.45조 원에서 2017년 10.99조 원으로 감소하였으나 2018년 10.79조 원을 기록하며 10조 원대 수준을 유지했습니다. 자산총계는 2016년 11.77조 원에서 2018년 11.95조 원으로 소폭 증가했습니다.

수익성
영업이익은 2016년 5,421억 원에서 2018년 6,323억 원으로 꾸준히 증가했습니다. 당기순이익 역시 2016년 2,794억 원에서 2018년 3,512억 원으로 증가했습니다. 주당이익은 2016년 640원에서 2018년 805원으로 상승했습니다.

안정성
부채총계는 2016년 7.75조 원에서 2018년 7.50조 원으로 감소했습니다. 이에따라 부채비율은 2016년 약 193.2%에서 2017년 187.5% 2018년에는 168.7%로 지속적인 하락세를 보이며 재무안정성이 개선된 모습을 보였습니다. 자본총계는 2016년 4.02조 원에서 2018년 4.44조 원으로 꾸준히 증가했습니다.

결론
LG유플러스는 2016년부터 2018년까지 영업수익은 소폭 감소하였으나 영업이익과 당기순이익이 꾸준히 증가하며 수익성이 개선되었습니다. 부채 감소와 자본 증가로 재무 안정성은 지속적으로 향상되었습니다."
2015_NAVER_preprocessing_summary.txt,"NAVER 요약재무정보 (2013-2015년)

성장성
영업수익은 2013년 22,591억 원에서 2015년 32,511억 원으로 꾸준히 증가했습니다. 자산총계 역시 2013년 26,977억 원에서 2015년 43,859억 원으로 크게 늘었습니다. 특히 유동자산이 2013년 13,360억 원에서 2015년 26,393억 원으로 증가하며 전반적인 자산 증가를 이끌었습니다.

수익성
영업이익은 2013년 5,065억 원에서 2015년 7,622억 원으로 증가하며 성장세를 보였습니다. 당기순이익은 2013년 18,952억 원에서 2015년 5,169억 원으로 감소하였으나, 이는 2013년 8월 1일자 회사분할의 영향으로 추정됩니다. 주당순이익 역시 2013년 50,227원에서 2015년 17,619원으로 감소했으나, 회복세를 보이고 있습니다.

안정성
부채총계는 2013년 12,224억 원에서 2015년 21,163억 원으로 증가했습니다. 이에 따라 부채비율은 2013년 약 75.6%에서 2015년 약 93.2%로 소폭 상승하여 재무 안정성이 다소 약화된 모습을 보였습니다. 하지만 자본총계는 2013년 14,753억 원에서 2015년 22,695억 원으로 증가하며 견조한 수준을 유지했습니다.

결론
NAVER는 2013년부터 2015년까지 영업수익과 영업이익이 꾸준히 성장하며 사업 규모를 확대했습니다. 당기순이익과 주당순이익은 회사분할의 영향을 받았으나 회복세를 보였으며, 부채 증가에도 불구하고 자본총계는 안정적으로 유지되며 전반적으로 양호한 재무 상태를 유지하고 있습니다."
2015_SK텔레콤_preprocessing_summary.txt,"SK텔레콤 요약재무정보 (제30기-제32기)

성장성
연결기준 영업수익은 제30기 16.60조원에서 제31기 17.16조원으로 소폭 증가하였으나 제32기에는 17.14조원으로 소폭 감소하였습니다. 연결기준 자산총계는 제30기 26.58조원에서 제32기 28.58조원으로 꾸준히 증가하였습니다. 별도기준 자산총계 역시 제30기 22.83조원에서 제32기 23.15조원으로 증가하였습니다.

수익성
연결기준 영업이익은 제30기 2.01조원에서 제31기 1.83조원으로 감소하였고 제32기에는 1.71조원으로 추가 감소하였습니다. 연결기준 법인세비용차감전계속영업순이익은 제30기 1.83조원에서 제31기 2.25조원으로 증가하였으나 제32기에는 2.04조원으로 감소하였습니다. 연결기준 당기순이익은 제30기 1.61조원에서 제31기 1.80조원으로 증가하였으나 제32기에는 1.52조원으로 감소하였습니다. 별도기준 영업이익은 제30기 1.97조원에서 제31기 1.74조원으로 감소하였고 제32기에는 1.66조원으로 추가 감소하였습니다. 별도기준 당기순이익은 제30기 0.91조원에서 제31기 1.03조원으로 증가하였고 제32기에는 1.11조원으로 추가 증가하였습니다.

안정성
연결기준 부채총계는 제30기 12.41조원에서 제32기 13.21조원으로 증가하였습니다. 자본총계는 제30기 14.17조원에서 제32기 15.37조원으로 증가하였습니다. 별도기준 부채총계는 제30기 9.51조원에서 제32기 9.37조원으로 소폭 감소하였습니다. 별도기준 자본총계는 제30기 13.32조원에서 제32기 13.78조원으로 증가하였습니다.

결론
SK텔레콤은 연결기준으로 영업수익이 정체되는 가운데 영업이익과 당기순이익이 감소하는 추세를 보였으나, 별도기준으로는 당기순이익이 꾸준히 증가하는 모습을 보였습니다. 자산과 부채, 자본 모두 전반적으로 증가하는 추세를 유지했습니다."
2015_고려아연_preprocessing_summary.txt,"고려아연 요약재무정보 (2013-2015년)

성장성
연결 기준 매출액은 2013년 4조 8,177억 원에서 2014년 4조 9,385억 원으로 증가하였으나 2015년 4조 7,714억 원으로 소폭 감소했습니다. 연결 기준 자산총계는 2013년 5조 1,209억 원에서 2015년 5조 9,079억 원으로 꾸준히 증가했습니다. 별도 기준 매출액은 2013년 4조 2,324억 원에서 2015년 4조 870억 원으로 감소하는 추세를 보였습니다. 별도 기준 자산총계는 2013년 4조 6,907억 원에서 2015년 5조 4,237억 원으로 증가했습니다.

수익성
연결 기준 영업이익은 2013년 5,986억 원에서 2014년 6,826억 원으로 증가하였으나 2015년 6,722억 원으로 소폭 감소했습니다. 연결 기준 당기순이익은 2013년 4,527억 원에서 2015년 5,139억 원으로 증가하는 추세를 보였습니다. 별도 기준 영업이익은 2013년 6,131억 원에서 2015년 6,369억 원으로 소폭 증가했습니다. 별도 기준 당기순이익은 2013년 4,676억 원에서 2015년 4,901억 원으로 증가했습니다. 주당순이익은 연결 기준으로 2013년 25,352원에서 2015년 28,820원으로 증가했습니다.

안정성
연결 기준 부채총계는 2013년 7,890억 원에서 2015년 6,885억 원으로 감소했습니다. 부채비율은 2013년 약 18.2%에서 2015년 약 13.2%로 하락하며 재무 안정성이 개선되었습니다. 자본총계는 연결 기준으로 2013년 4조 3,319억 원에서 2015년 5조 2,193억 원으로 증가했습니다. 별도 기준 부채총계는 2013년 5,136억 원에서 2015년 4,570억 원으로 감소했습니다. 별도 기준 자본총계는 2013년 4조 1,770억 원에서 2015년 4조 9,667억 원으로 증가했습니다.

결론
고려아연은 2013년부터 2015년까지 연결 및 별도 기준으로 꾸준한 매출 성장을 보이거나 유지했으며, 영업이익과 당기순이익 모두 증가하는 추세를 보였습니다. 부채는 감소하고 자본은 증가하여 전반적인 재무 안정성이 향상되었습니다."
2015_카카오_preprocessing_summary.txt,"카카오 요약재무정보 (2013-2015년)

성장성
카카오의 매출액은 2013년 2,108억 원에서 2014년 4,989억 원으로 약 2.3배 증가했으며, 2015년에는 9,322억 원으로 지속적인 성장세를 보였습니다. 자산총계 역시 2013년 2,172억 원에서 2015년 3조 1,885억 원으로 크게 증가하며 사업 규모가 확대되었음을 알 수 있습니다. 연결 종속회사의 수도 2013년 6개에서 2015년 46개로 늘어나며 외형 성장을 뒷받침했습니다.

수익성
카카오는 2013년부터 2015년까지 꾸준히 영업이익과 당기순이익 흑자를 기록했습니다. 영업이익은 2013년 659억 원, 2014년 1,764억 원, 2015년 886억 원을 기록했으며, 당기순이익은 2013년 614억 원, 2014년 1,498억 원, 2015년 788억 원을 기록했습니다. 주당이익 역시 2013년 1,444원에서 2014년 3,243원으로 크게 상승했으나 2015년에는 1,269원으로 감소했습니다.

안정성
카카오의 부채총계는 2013년 399억 원에서 2015년 6,030억 원으로 증가했습니다. 이에 따라 부채비율은 2013년 약 22.5%에서 2014년 약 12.3%로 감소했으나, 2015년에는 약 18.9%로 소폭 상승했습니다. 그러나 자본총계는 2013년 1,773억 원에서 2015년 2조 5,855억 원으로 크게 증가하며 우수한 재무 안정성을 유지하고 있습니다.

결론
카카오는 2013년부터 2015년까지 매출액과 자산총계가 가파르게 성장했으며, 꾸준히 영업이익과 당기순이익 흑자를 기록했습니다. 부채총계는 증가했으나 자본총계가 더욱 큰 폭으로 증가하여 전반적인 재무 안정성은 양호한 수준을 유지하고 있습니다. 다만, 2015년 영업이익 및 당기순이익, 주당이익은 전년 대비 감소하는 모습을 보였습니다."
2015_풍산_preprocessing_summary.txt,"풍산 요약재무정보 (2013-2015년)

성장성
연결 기준 매출액은 2013년 30,220억 원에서 2014년 30,002억 원으로 소폭 감소한 후 2015년 28,197억 원으로 하락했습니다. 연결 기준 자산총계는 2013년 26,841억 원에서 2014년 28,591억 원으로 증가했으나 2015년 26,076억 원으로 감소했습니다. 별도 기준 매출액은 2013년 23,727억 원에서 2014년 22,434억 원으로 감소한 후 2015년 20,408억 원으로 지속적으로 하락했습니다. 별도 기준 자산총계는 2013년 23,218억 원에서 2014년 25,066억 원으로 증가했으나 2015년 23,318억 원으로 감소했습니다.

수익성
연결 기준 영업이익은 2013년 1,331억 원에서 2014년 1276억 원, 2015년 1111억 원으로 감소세를 보였습니다. 연결 기준 당기순이익 역시 2013년 605억 원에서 2014년 737억 원으로 증가했다가 2015년 517억 원으로 감소했습니다. 주당순이익은 2013년 2,156원에서 2014년 2,628원으로 증가했으나 2015년 1,841원으로 하락했습니다. 별도 기준 영업이익은 2013년 1,377억 원에서 2014년 1298억 원, 2015년 1139억 원으로 감소했습니다. 별도 기준 당기순이익은 2013년 846억 원에서 2014년 933억 원으로 증가했으나 2015년 782억 원으로 감소했습니다. 주당순이익은 2013년 3,019원에서 2014년 3,331원으로 증가했으나 2015년 2,792원으로 하락했습니다.

안정성
연결 기준 부채총계는 2013년 16,917억 원에서 2014년 18,107억 원으로 증가했으나 2015년 15,146억 원으로 감소했습니다. 부채비율은 2013년 약 170.4%에서 2014년 172.3%로 소폭 상승했으나 2015년 138.6%로 하락하며 재무 안정성이 개선되었습니다. 연결 기준 자본총계는 2013년 9,924억 원에서 2015년 10,930억 원으로 증가했습니다. 별도 기준 부채총계는 2013년 12,664억 원에서 2014년 13,816억 원으로 증가했다가 2015년 11,447억 원으로 감소했습니다. 별도 기준 자본총계는 2013년 10,555억 원에서 2015년 11,871억 원으로 꾸준히 증가했습니다.

결론
풍산은 2013년부터 2015년까지 연결 및 별도 기준으로 매출액이 감소하는 추세를 보였습니다. 영업이익과 당기순이익 역시 전반적으로 감소하는 경향을 나타냈습니다. 다만, 부채총계 감소와 자본총계 증가로 인해 재무 안정성은 개선되는 모습을 보였습니다."
2016_LG유플러스_preprocessing_summary.txt,"LG유플러스 요약재무정보 (2014-2016년)

성장성
영업수익은 2014년 10조 9,998억 원에서 2015년 10조 7,952억 원으로 소폭 감소하였으나 2016년 11조 4,510억 원으로 회복하며 11조 원대 수준을 유지했습니다. 자산총계는 2014년 12조 126억 원에서 2016년 11조 9,891억 원으로 큰 변동 없이 유지되었습니다.

수익성
영업이익은 2014년 5,763억 원에서 2015년 6,323억 원, 2016년 7,464억 원으로 꾸준히 증가하는 추세를 보였습니다. 당기순이익 역시 2014년 2,277억 원에서 2015년 3,512억 원, 2016년 4,927억 원으로 지속적으로 증가하며 수익성이 개선되었습니다. 주당이익은 2014년 523원에서 2016년 1,129원으로 크게 상승했습니다.

안정성
부채총계는 2014년 7조 8,348억 원에서 2015년 7조 5,025억 원으로 감소하였고 2016년에는 7조 1,627억 원으로 지속적으로 감소했습니다. 이에 따라 부채비율은 감소 추세를 보이며 재무 안정성이 개선된 모습을 보였습니다. 자본총계는 2014년 4조 1,778억 원에서 2016년 4조 8,263억 원으로 꾸준히 증가했습니다.

결론
LG유플러스는 2014년부터 2016년까지 영업수익은 유지되었으나 영업이익과 당기순이익이 지속적으로 증가하며 수익성이 크게 개선되었습니다. 부채 감소로 재무 안정성이 향상되었으며 자본총계 역시 꾸준히 증가하며 재무 건전성이 강화되었습니다."
2016_NAVER_preprocessing_summary.txt,"NAVER 요약재무정보 (2014-2016년)

성장성
연결 기준 영업수익은 2014년 2조 7,585억 원에서 2016년 4조 226억 원으로 꾸준히 증가하며 성장세를 보였습니다. 자산총계 역시 2014년 3조 3,945억 원에서 2016년 6조 3,706억 원으로 크게 증가했습니다. 이는 주로 투자자산과 현금 및 현금성자산, 단기금융상품의 증가에 기인합니다.

수익성
연결 기준 영업이익은 2014년 7,582억 원에서 2016년 1조 1,020억 원으로 증가하며 양호한 수익성을 나타냈습니다. 당기순이익 또한 2014년 4,518억 원에서 2016년 7,591억 원으로 성장했습니다. 주당순이익은 2014년 15,277원에서 2016년 25,746원으로 상승하며 주주 가치도 증대되었습니다.

안정성
연결 기준 부채총계는 2014년 1조 5,970억 원에서 2016년 2조 2,410억 원으로 증가했습니다. 그러나 자본총계는 2014년 1조 7,974억 원에서 2016년 4조 1,296억 원으로 훨씬 큰 폭으로 증가하며 재무 안정성은 오히려 강화되었습니다. 이는 주로 이익잉여금과 자본잉여금의 증가에 따른 것입니다.

결론
NAVER는 2014년부터 2016년까지 영업수익과 영업이익, 당기순이익 모두 꾸준히 증가하며 성장성과 수익성이 우수한 재무 상태를 보였습니다. 자본총계가 부채총계보다 훨씬 큰 폭으로 증가하여 재무 안정성 또한 견고하게 유지되었습니다."
2016_SK텔레콤_preprocessing_summary.txt,"SK텔레콤 요약재무정보 (제31기 2015년 - 제33기 2017년)

성장성
연결 기준 매출액은 제31기 17조 1,637억원에서 제32기 17조 1,367억원으로 소폭 감소했으나 제33기 17조 918억원으로 소폭 회복했습니다. 자산총계는 제31기 27조 9,412억원에서 제33기 31조 2,976억원으로 꾸준히 증가했습니다. 별도 기준 매출액은 제31기 13조 126억원에서 제33기 12조 3,504억원으로 감소했습니다. 자산총계는 제31기 22조 7,124억원에서 제33기 25조 4,485억원으로 증가했습니다.

수익성
연결 기준 영업이익은 제31기 1조 8,251억원에서 제32기 1조 7,080억원으로 감소했으나 제33기 1조 5,357억원으로 소폭 증가했습니다. 법인세비용차감전계속영업순이익은 제31기 2조 2,538억원에서 제33기 2조 961억원으로 감소했습니다. 연결당기순이익은 제31기 1조 7,993억원에서 제33기 1조 6,601억원으로 감소했습니다. 지배회사지분순이익 역시 제31기 1조 8,011억원에서 제33기 1조 6,759억원으로 감소했습니다. 주당이익은 제31기 25,154원에서 제33기 23,497원으로 하락했습니다. 별도 기준 영업이익은 제31기 1조 7,371억원에서 제33기 1조 7,821억원으로 증가했습니다. 법인세비용차감전순이익은 제31기 1조 3,217억원에서 제33기 1조 5,627억원으로 증가했습니다. 당기순이익은 제31기 1조 285억원에서 제33기 1조 2,172억원으로 증가했습니다. 주당이익은 제31기 14,262원에서 제33기 17,001원으로 상승했습니다.

안정성
연결 기준 부채총계는 제31기 12조 6,929억원에서 제33기 15조 1,812억원으로 증가했습니다. 부채비율은 제31기 약 83.2%에서 제33기 약 94.2%로 상승하며 재무 안정성이 다소 하락했습니다. 자본총계는 제31기 15조 2,482억원에서 제33기 16조 1,164억원으로 증가했습니다. 별도 기준 부채총계는 제31기 9조 1,702억원에서 제33기 11조 1,916억원으로 증가했습니다. 부채비율은 제31기 약 68.2%에서 제33기 약 78.5%로 상승하며 재무 안정성이 하락했습니다. 자본총계는 제31기 13조 5,422억원에서 제33기 14조 2,569억원으로 증가했습니다.

결론
SK텔레콤은 연결 기준 매출액이 소폭 증가했으나 수익성은 전반적으로 하락하는 추세를 보였습니다. 반면 별도 기준에서는 매출액이 감소했음에도 불구하고 영업이익과 당기순이익, 주당이익은 상승하며 수익성이 개선되었습니다. 연결 및 별도 기준 모두 부채 증가로 인해 재무 안정성은 다소 하락했으나 자본총계는 꾸준히 증가했습니다."
2016_고려아연_preprocessing_summary.txt,"고려아연 요약재무정보 (2014-2016년)

성장성
매출액은 2014년 약 4.94조 원에서 2015년 약 4.77조 원으로 소폭 감소했으나 2016년 약 5.85조 원으로 증가했습니다. 자산총계는 2014년 약 5.64조 원에서 2016년 약 6.48조 원으로 꾸준히 증가했습니다.

수익성
영업이익은 2014년 약 6,827억 원에서 2015년 약 6,722억 원으로 소폭 감소한 후 2016년 약 7,647억 원으로 증가했습니다. 당기순이익 역시 2014년 약 5,049억 원에서 2015년 약 5,140억 원으로 증가했으며 2016년 약 5,946억 원으로 더 증가했습니다. 주당순이익은 2014년 28,362원에서 2016년 33,519원으로 증가했습니다.

안정성
부채총계는 2014년 약 8,593억 원에서 2015년 약 6,886억 원으로 감소했으나 2016년 약 8,199억 원으로 다시 증가했습니다. 부채비율은 2014년 약 18.1%에서 2015년 약 13.8%로 감소했다가 2016년 약 14.5%로 소폭 상승했습니다. 자본총계는 2014년 약 4.78조 원에서 2016년 약 5.66조 원으로 꾸준히 증가했습니다.

결론
고려아연은 2014년부터 2016년까지 매출액이 증가하는 추세를 보였으며, 영업이익과 당기순이익 역시 꾸준히 개선되는 모습을 보였습니다. 자산총계도 증가했으며, 부채비율은 비교적 안정적인 수준을 유지하며 재무 안정성도 양호한 것으로 판단됩니다."
