## 대성에너지 / 2021.03.19 사업보고서

### 1. 요약재무정보
#### 가. 요약연결재무정보
(단위 : 원)

| 구 분 | 제 12 기 (2020.12.31 현재) | 제 11 기 (2019.12.31 현재) | 제 10 기 (2018.12.31 현재) |
|---|---|---|---|
| **[유동자산]** | 202,990,000,000 | 210,733,000,000 | 212,944,000,000 |
| ㆍ현금및현금성자산 | 12,801,000,000 | 9,478,000,000 | 6,593,000,000 |
| **[비유동자산]** | 499,127,000,000 | 486,460,000,000 | 440,907,000,000 |
| **자산총계** | 702,117,000,000 | 697,193,000,000 | 653,851,000,000 |
| **[유동부채]** | 277,554,000,000 | 229,885,000,000 | 217,337,000,000 |
| **[비유동부채]** | 110,152,000,000 | 160,831,000,000 | 134,523,000,000 |
| **부채총계** | 387,706,000,000 | 390,716,000,000 | 351,860,000,000 |
| **[자본금]** | 27,500,000,000 | 27,500,000,000 | 27,500,000,000 |
| **[이익잉여금]** | 82,774,000,000 | 73,828,000,000 | 68,912,000,000 |
| **자본총계** | 314,411,000,000 | 306,477,000,000 | 301,991,000,000 |

| 구분 | 제 12 기 (2020.01.01~2020.12.31) | 제 11 기 (2019.01.01~2019.12.31) | 제 10 기 (2018.01.01~2018.12.31) |
|---|---|---|---|
| **매출액** | 743,191,000,000 | 774,850,000,000 | 770,983,000,000 |
| **영업이익** | 26,277,000,000 | 24,284,000,000 | 15,969,000,000 |
| **당기순이익** | 14,131,000,000 | 13,033,000,000 | 12,895,000,000 |
| **당기총포괄손익** | 14,809,000,000 | 11,361,000,000 | 12,333,000,000 |
| **주당순이익(원)** | 514 | 474 | 469 |
