## 도이치모터스 / 2021.03.19 사업보고서

### 1. 요약재무정보

#### 가. 요약연결재무정보
(단위 : 원)
| 구 분 | 제21기 (2020년 12월말) | 제20기 (2019년 12월말) | 제19기 (2018년 12월말) |
|---|---|---|---|
| **자산총계** | 1,056,891,482,866 | 804,374,150,623 | 595,741,288,533 |
| **부채총계** | 756,904,257,904 | 542,310,859,845 | 394,847,405,506 |
| **자본총계** | 299,987,224,962 | 262,063,290,778 | 200,893,883,027 |
| **매출액** | 1,451,108,882,283 | 1,208,710,144,412 | 1,058,333,175,091 |
| **영업이익(영업손실)** | 44,861,580,550 | 82,887,617,450 | 50,608,146,083 |
| **당기순이익(손실)** | 15,157,447,195 | 56,306,958,297 | 34,670,313,103 |
| **기본주당순이익(손실)** | 534 | 2,073 | 1,328 |

#### 나. 요약 재무제표
(단위 : 원)
| 구 분 | 제21기 (2020년 12월말) | 제20기 (2019년 12월말) | 제19기 (2018년 12월말) |
|---|---|---|---|
| **자산총계** | 461,373,044,110 | 427,423,619,947 | 309,897,239,638 |
| **부채총계** | 313,589,372,874 | 305,701,299,514 | 221,346,266,221 |
| **자본총계** | 147,783,671,236 | 121,722,320,433 | 88,550,973,417 |
| **매출액** | 1,164,362,746,624 | 896,692,397,605 | 903,848,073,584 |
| **영업이익** | 25,624,059,354 | 28,987,521,411 | 19,553,160,617 |
| **당기순이익** | 12,144,983,304 | 15,260,317,549 | 11,061,541,821 |
| **기본주당순이익** | 445 | 565 | 438 |
