## 로보로보 / 2021.03.12 사업보고서

### 1. 요약재무정보
#### 가. 요약연결재무정보
(단위 : 원)

| 구 분                     | 제6기 (2020년 12월말) | 제5기 (2019년 12월말) | 제4기 (2018년 12월말) |
| :------------------------ | :------------------- | :------------------- | :------------------- |
| **자산총계**              | 24,874,381,000,000 | 27,198,177,000,000 | 26,659,082,000,000 |
| **부채총계**              | 1,441,790,000,000  | 2,573,041,000,000  | 1,462,204,000,000  |
| **자본총계**              | 23,432,591,000,000 | 24,625,136,000,000 | 25,196,878,000,000 |
| **매출액**                | 4,842,599,000,000  | 13,231,638,000,000 | 16,893,277,000,000 |
| **영업이익(영업손실)**    | (2,558,792,000,000) | 221,207,000,000    | 2,974,278,000,000  |
| **당기순이익(당기순손실)** | (3,051,953,000,000) | 1,088,824,000,000  | 2,555,385,000,000  |

#### 나. 요약재무정보
(단위 : 원)

| 구 분                     | 제6기 (2020년 12월말) | 제5기 (2019년 12월말) | 제4기 (2018년 12월말) |
| :------------------------ | :------------------- | :------------------- | :------------------- |
| **자산총계**              | 24,711,026,000,000 | 26,281,613,000,000 | 26,399,244,000,000 |
| **부채총계**              | 1,180,191,000,000  | 1,674,828,000,000  | 1,202,366,000,000  |
| **자본총계**              | 23,530,835,000,000 | 24,606,785,000,000 | 25,196,878,000,000 |
| **매출액**                | 4,386,164,000,000  | 11,262,334,000,000 | 14,681,307,000,000 |
| **영업이익(영업손실)**    | (1,578,931,000,000) | 572,099,000,000    | 2,715,663,000,000  |
| **당기순이익(당기순손실)** | (2,952,979,000,000) | 1,090,473,000,000  | 2,555,385,000,000  |
