## 대한제강 / 2022.03.17 사업보고서

### 1. 요약재무정보
#### 가. 요약연결재무정보
**(단위 : 원)**

| 구 분                             | 제69기 (2021.12.31)   | 제68기 (2020.12.31)   | 제67기 (2019.12.31)   |
| :-------------------------------- | :-------------------- | :-------------------- | :-------------------- |
| **[유동자산]**                    | 811,251,810,574       | 507,685,084,615       | 298,986,368,375       |
| **[비유동자산]**                  | 421,185,770,897       | 363,627,667,856       | 336,245,338,096       |
| **자산총계**                      | 1,232,437,581,471     | 944,860,967,703       | 635,231,706,471       |
| **[유동부채]**                    | 487,403,725,481       | 357,765,487,135       | 151,916,825,398       |
| **[비유동부채]**                  | 24,826,180,272        | 22,138,360,444        | 21,232,858,705        |
| **부채총계**                      | 512,229,905,753       | 396,483,254,650       | 173,149,684,103       |
| **[자본금]**                      | 24,646,734,000        | 24,646,734,000        | 24,646,734,000        |
| **[연결이익잉여금]**              | 614,095,716,980       | 477,562,320,349       | 434,459,400,199       |
| **[소수주주지분(비지배지분)]**    | 70,535,659,724        | 53,762,773,635        | 2,043,717,214         |
| **자본총계**                      | 720,207,675,718       | 548,377,713,053       | 462,082,022,368       |

| 기간                                | 2021.01.01~2021.12.31 | 2020.01.01~2020.12.31 | 2019.01.01~2019.12.31 |
| :---------------------------------- | :-------------------- | :-------------------- | :-------------------- |
| **매출액**                          | 2,030,305,293,579     | 1,096,134,815,196     | 1,021,712,425,889     |
| **영업이익**                        | 201,800,787,108       | 81,806,922,399        | 42,026,286,377        |
| **연결 당기순이익**                 | 163,681,147,068       | 53,080,079,020        | 29,622,525,674        |
| **주당순이익(원)**                  | 6,563                 | 2,232                 | 1,340                 |
