## 인화정공 / 2023.03.31 [정정] 사업보고서

### 1. 요약재무정보

#### 가. 요약연결재무정보
(단위: 원)

| 구분                | 제24기(2022년말)      | 제23기(2021년말)      | 제22기(2020년말)      |
| :------------------ | :-------------------- | :-------------------- | :-------------------- |
| **자산총계**        | 340,721,710,467       | 364,699,680,219       | 316,697,638,929       |
| **부채총계**        | 170,371,104,528       | 175,075,129,646       | 152,296,836,756       |
| **자본총계**        | 170,350,605,939       | 189,624,550,573       | 164,400,802,173       |
| **매출액**          | 148,389,679,600       | 110,475,018,706       | 105,747,185,253       |
| **영업이익**        | 9,885,108,636         | 3,629,936,675         | (629,693,726)         |
| **당기순이익**      | (10,771,026,339)      | 15,263,197,737        | 31,817,708,013        |
| **총포괄손익**      | (8,010,705,574)       | 25,223,748,400        | 32,128,380,128        |
| **기본주당순이익**  | (1,156)               | 1,663                 | 3,466                 |

#### 나. 요약 재무정보
(단위: 원)

| 구분                | 제24기(2022년말)      | 제23기(2021년말)      | 제22기(2020년말)      |
| :------------------ | :-------------------- | :-------------------- | :-------------------- |
| **자산총계**        | 302,506,955,462       | 278,752,426,295       | 211,497,896,820       |
| **부채총계**        | 110,961,325,780       | 102,381,193,216       | 85,972,561,636        |
| **자본총계**        | 191,545,629,682       | 176,371,233,079       | 125,525,335,184       |
| **매출액**          | 74,140,078,861        | 54,595,370,405        | 58,513,851,359        |
| **영업이익**        | 5,555,630,160         | 2,282,790,697         | 2,229,986,666         |
| **당기순이익**      | 12,394,016,029        | 41,570,681,676        | 3,407,713,221         |
| **총포괄손익**      | 13,133,272,803        | 50,845,897,895        | 3,803,282,938         |
| **기본주당순이익**  | 1,330                 | 4,528                 | 371                   |
