## 선광 / 2024.03.13 사업보고서

**1. 요약재무정보**

**가. 요약연결재무정보**
(단위 : 원)

| 구분                               | 제 75 기          | 제 74 기(*)       | 제 73 기          |
| :--------------------------------- | :---------------- | :---------------- | :---------------- |
| **[유동자산]**                     | 86,754,214,874    | 78,632,924,317    | 103,203,351,746   |
| **[비유동자산]**                   | 552,673,833,912   | 551,455,774,735   | 586,122,568,294   |
| **자산총계**                       | 639,428,048,786   | 630,088,699,052   | 689,325,920,040   |
| **[유동부채]**                     | 64,984,705,829    | 61,235,799,484    | 82,853,758,364    |
| **[비유동부채]**                   | 212,018,678,605   | 231,810,734,541   | 278,574,667,126   |
| **부채총계**                       | 277,003,384,434   | 293,046,534,025   | 361,428,425,490   |
| **[자본금]**                       | 6,600,000,000     | 6,600,000,000     | 6,600,000,000     |
| **[이익잉여금]**                   | 290,877,741,739   | 265,399,958,691   | 256,135,130,756   |
| **[기타포괄손익누계액]**           | 1,186,816,491     | 1,215,597,382     | 1,405,532,197     |
| **[지배기업 소유지분]**            | 360,756,941,699   | 335,306,505,857   | 326,231,612,737   |
| **[비지배지분]**                   | 1,667,722,653     | 1,735,659,170     | 1,665,881,813     |
| **자본총계**                       | 362,424,664,352   | 337,042,165,027   | 327,897,494,550   |
| **매출액**                         | 185,300,554,838   | 172,141,436,308   | 162,739,217,097   |
| **영업이익**                       | 39,087,432,544    | 26,761,774,363    | 32,163,554,969    |
| **당기순이익**                     | 29,836,757,952    | 10,147,839,994    | 24,033,559,913    |
| **지배기업 소유주지분**            | 29,808,892,370    | 9,951,050,409     | 24,042,351,740    |
| **비지배지분**                     | 27,865,582        | 196,789,585       | (8,791,827)       |
| **지배기업지분에 대한 주당손익**   | 5,163             | 1,723             | 4,164             |
| 연결에 포함된 회사수              | 3                 | 3                 | 3                 |

(*) 연결회사는 당기 중에 전기 연결재무제표 오류를 발견하였으며, 동 사항으로 인한 연결재무제표에 미치는 영향이 중요하다고 판단하여 비교표시된 전년도 연결재무제표에 수정사항을 반영하여 재작성하였습니다.

**나. 요약재무정보**
(단위 : 원)

| 구분                               | 제 75 기          | 제 74 기          | 제 73 기          |
| :--------------------------------- | :---------------- | :---------------- | :---------------- |
| **[유동자산]**                     | 32,234,580,592    | 40,984,409,475    | 61,313,294,302    |
| **[비유동자산]**                   | 385,583,672,980   | 365,096,885,297   | 381,501,466,906   |
| **자산총계**                       | 417,818,253,572   | 406,081,294,772   | 442,814,761,208   |
| **[유동부채]**                     | 30,105,083,725    | 32,830,867,293    | 55,651,428,458    |
| **[비유동부채]**                   | 32,255,874,201    | 32,088,957,806    | 47,483,812,446    |
| **부채총계**                       | 62,360,957,926    | 64,919,825,099    | 103,135,240,904   |
| **[자본금]**                       | 6,600,000,000     | 6,600,000,000     | 6,600,000,000     |
| **[이익잉여금]**                   | 307,371,393,299   | 293,079,930,534   | 291,565,771,749   |
| **[기타포괄손익누계액]**           | (3,102,766)       | (7,465,974)       | 24,743,442        |
| **자본총계**                       | 355,457,295,646   | 341,161,469,673   | 339,679,520,304   |
| **매출액**                         | 94,594,642,213    | 91,131,327,649    | 84,886,790,339    |
| **영업이익**                       | 22,645,344,650    | 17,477,662,717    | 23,002,345,890    |
| **당기순이익**                     | 17,570,152,808    | 2,720,366,397     | 18,968,697,710    |
| **주당순이익**                     | 3,043             | 471               | 3,285             |
