## 한화에어로스페이스 / 2024.03.29 [정정] 사업보고서

### 1. 요약재무정보
#### 가. 요약연결재무정보
(단위: 원)

| 구분                      | 제47기 (2023년 12월말) | 제46기 (2022년 12월말) | 제45기 (2021년 12월말) |
|---------------------------|-------------------------|-------------------------|-------------------------|
| **자산총계**              | 19,542,900,000,000      | 15,151,828,000,000      | 11,045,831,000,000      |
| **부채총계**              | 14,858,675,000,000      | 11,233,518,000,000      | 7,114,272,000,000       |
| **자본총계**              | 4,684,225,000,000       | 3,918,310,000,000       | 3,931,559,000,000       |
|                           |                         |                         |                         |
| **매출액**                | 9,359,006,000,000       | 7,060,393,000,000       | 5,541,389,000,000       |
| **영업이익(영업손실)**    | 691,115,000,000         | 400,345,000,000         | 277,093,000,000         |
| **지배회사지분순이익**    | 817,510,000,000         | 169,444,000,000         | 252,581,000,000         |
| **총포괄이익**            | 819,257,000,000         | 103,402,000,000         | 356,685,000,000         |
| **주당순이익(주당순손실)**| 16,103                  | 3,344                   | 4,989                   |

#### 나. 요약재무정보
(단위: 원)

| 구분                      | 제47기 (2023년 12월말) | 제46기 (2022년 12월말) | 제45기 (2021년 12월말) |
|---------------------------|-------------------------|-------------------------|-------------------------|
| **자산총계**              | 14,160,833,000,000      | 8,689,561,000,000       | 5,140,205,000,000       |
| **부채총계**              | 11,016,548,000,000      | 6,035,172,000,000       | 3,049,355,000,000       |
| **자본총계**              | 3,144,285,000,000       | 2,654,389,000,000       | 2,090,850,000,000       |
|                           |                         |                         |                         |
| **매출액**                | 4,978,993,000,000       | 1,956,745,000,000       | 1,224,760,000,000       |
| **영업이익(영업손실)**    | 519,098,000,000         | 147,254,000,000         | (17,755,000,000)        |
| **당기순이익(당기순손실)**| 648,960,000,000         | 306,700,000,000         | 119,344,000,000         |
| **총포괄이익(총포괄손실)**| 684,145,000,000         | 324,690,000,000         | 126,053,000,000         |
| **주당순이익(주당순손실)**| 12,783                  | 6,054                   | 2,357                   |
