## 대창솔루션 / 2025.03.21 사업보고서

**1. 요약재무정보**

**가. 요약연결재무정보**
(단위 : 원)

| 구분 | 제48기 (2024.12.31) | 제47기 (2023.12.31) | 제46기 (2022.12.31) |
|---|---|---|---|
| **자산총계** | 135,428,546,000,000 | 128,821,584,000,000 | 124,178,353,000,000 |
| **부채총계** | 102,592,307,000,000 | 93,059,260,000,000 | 95,237,188,000,000 |
| **자본총계** | 32,836,239,000,000 | 35,762,324,000,000 | 28,941,164,000,000 |
| **매출액** | 61,398,550,000,000 | 71,715,102,000,000 | 52,756,099,000,000 |
| **영업이익** | 436,761,000,000 | 5,596,489,000,000 | -4,741,415,000,000 |
| **당기순이익** | -2,710,495,000,000 | 2,800,892,000,000 | -7,827,098,000,000 |
| **총포괄손익** | -2,926,085,000,000 | 5,971,159,000,000 | -7,910,257,000,000 |

**나. 요약재무정보**
(단위 : 원)

| 구분 | 제48기 (2024.12.31) | 제47기 (2023.12.31) | 제46기 (2022.12.31) |
|---|---|---|---|
| **자산총계** | 92,000,628,000,000 | 95,687,925,000,000 | 92,590,764,000,000 |
| **부채총계** | 66,520,635,000,000 | 66,499,793,000,000 | 64,622,818,000,000 |
| **자본총계** | 25,479,992,000,000 | 29,188,132,000,000 | 27,967,946,000,000 |
| **매출액** | 41,269,402,000,000 | 46,713,375,000,000 | 34,161,669,000,000 |
| **영업이익** | -1,761,280,000,000 | 3,408,759,000,000 | -3,262,636,000,000 |
| **당기순이익** | -3,525,914,000,000 | 1,672,313,000,000 | -7,419,564,000,000 |
| **주당순이익** | -22 | 11 | -47 |
