## 삼목에스폼 / 2022.08.12 [정정] 사업보고서

### 1. 요약재무정보

#### 가. 요약연결재무정보
(단위 : 원)

| 과 목                                | 제 37 기(연결) (2021년 12월말) | 제 36 기(개별) (2020년 12월말) | 제 35 기(개별) (2019년 12월말) |
| :----------------------------------- | :----------------------------- | :----------------------------- | :----------------------------- |
| **자 산**                            |                                |                                |                                |
| **Ⅰ. 유동자산**                     | 172,944,031,286                | 160,277,494,984                | 144,036,240,646                |
| 1. 현금및현금성자산                  | 27,963,306,897                 | 54,552,286,712                 | 9,710,698,945                  |
| 2. 매출채권                          | 83,986,631,442                 | 14,504,821,689                 | 17,055,042,994                 |
| 3. 기타금융자산                      | 37,557,000,287                 | 91,176,882,428                 | 113,860,678,591                |
| 4. 재고자산                          | 22,313,266,168                 | -                              | -                              |
| 5. 기타유동자산                      | 508,251,316                    | 43,504,155                     | 122,300,680                    |
| 6. 당기법인세자산                    | 615,575,176                    | -                              | 3,287,519,436                  |
| **Ⅱ. 비유동자산**                    | 375,431,500,082                | 235,646,481,882                | 252,371,615,437                |
| 1. 장기성매출채권                    | -                              | -                              | 154,091,227                    |
| 2. 기타비유동금융자산                | 6,285,217,675                  | 6,881,847,090                  | 6,170,741,158                  |
| 3. 투자부동산                        | 1,187,202,075                  | 35,492,221,099                 | 2,520,392,681                  |
| 4. 유형자산                          | 358,972,443,277                | 193,165,253,263                | 218,806,258,648                |
| 5. 무형자산                          | 8,959,615,888                  | 107,160,430                    | 107,160,430                    |
| 6. 이연법인세자산                    | 27,021,167                     | -                              | -                              |
| 7. 기타비유동자산                    | -                              | -                              | 24,612,971,243                 |
| **Ⅲ. 매각예정비유동자산**            |                                |                                |                                |
| **자 산 총 계**                      | 548,375,531,368                | 395,923,976,866                | 396,407,856,083                |
| **부 채**                            |                                |                                |                                |
| **Ⅰ. 유동부채**                     | 119,791,980,022                | 41,192,352,524                 | 29,805,256,630                 |
| 1. 매입채무                          | 74,918,167,747                 | 6,440,743,554                  | 6,477,643,964                  |
| 2. 미지급금                          | 16,876,930,974                 | 9,605,473,279                  | 6,644,452,199                  |
| 3. 단기차입금                        | 3,378,849                      |                                |                                |
| 4. 기타금융부채                      | 1,193,549,199                  | 767,335,266                    | 2,062,645,935                  |
| 5. 당기법인세부채                    | 923,544,801                    | 7,690,936,163                  | -                              |
| 6. 기타유동부채                      | 25,876,408,452                 | 16,687,864,262                 | 14,620,514,532                 |
| **Ⅱ. 비유동부채**                    | 38,173,710,366                 | 15,174,477,586                 | 24,284,321,754                 |
| 1. 장기차입금                        | 17,099,015,806                 | -                              |                                |
| 2. 확정급여채무                      | -                              | 183,364,639                    |                                |
| 3. 기타비유동금융부채                | 3,460,478,148                  | 1,022,939,686                  | 2,742,567,621                  |
| 4. 이연법인세부채                    | 17,614,216,412                 | 14,151,537,900                 | 21,358,389,494                 |
| **부 채 총 계**                      | 157,965,690,388                | 56,366,830,110                 | 54,089,578,384                 |
| **자 본**                            |                                |                                |                                |
| **Ⅰ. 지배기업소유지분**              | 390,409,840,980                |                                |                                |
| 1. 자본금                            | 7,350,000,000                  | 7,350,000,000                  | 7,350,000,000                  |
| 2. 자본잉여금                        | 64,133,178,991                 | 61,310,148,182                 | 61,310,148,182                 |
| 3. 기타자본항목                      | (15,262,236,889)               | (33,092,966,622)               | (30,062,930,310)               |
| 4. 기타포괄손익누계액                | 502,598,220                    | 4,610,000,000                  | 4,480,000,000                  |
| 5. 이익잉여금                        | 333,686,300,659                | 299,379,965,196                | 299,241,059,827                |
| **Ⅱ. 비지배지분**                    | -                              |                                |                                |
| **자 본 총 계**                      | 390,409,840,980                | 339,557,146,756                | 342,318,277,699                |
| **부채와자본총계**                   | 548,375,531,368                | 395,923,976,866                | 396,407,856,083                |

| 과 목                         | 제 37 기 (2021.01.01~ 2021.12.31) | 제 36 기 (2020.01.01~ 2020.12.31) | 제 35 기 (2019.01.01~ 2019.12.31) |
| :---------------------------- | :-------------------------------- | :-------------------------------- | :-------------------------------- |
| **매출액**                    | 209,927,695,422                   | 116,454,495,962                   | 144,218,796,313                   |
| **영업이익(손실)**            | 3,709,426,165                     | (12,650,722,717)                  | 11,367,058,093                    |
| **법인세비용차감전순이익(손실)** | 33,696,259,761                    | 1,230,706,629                     | 17,510,898,110                    |
| **당기순이익(손실)**          | 30,278,696,605                    | 705,493,115                       | 13,699,546,839                    |
| **지배기업지분순이익**        | 30,278,696,605                    | -                                 | -                                 |
| **비지배지분순이익**          | -                                 | -                                 | -                                 |
| **기타포괄손익**              | (79,762,923)                      | 795,835,754                       | (448,845,908)                     |
| **총포괄이익**                | 30,198,933,682                    | 1,501,328,869                     | 13,250,700,931                    |
| **주당순이익**                | 2,432                             | 58                                | 1,112                             |
| **기본주당이익**              | 2,432                             | 58                                | 1,112                             |
| **희석주당이익**              | -                                 | -                                 | -                                 |

---

### 나. 요약개별재무정보

* **"나. 요약개별재무정보" 섹션은 제거되었습니다.**
